modelo,V,H,MAE_train,MAE_val,MAE_test,n_params
Buy & Hold,5,1,0.011668,0.009216,0.012279,0
Persistencia,5,1,0.01651,0.013306,0.017819,0
Media histórica,5,1,0.013059,0.01031,0.013634,0
Regresión lineal,5,1,0.011662,0.009319,0.012419,2668
Buy & Hold,5,5,0.005404,0.00433,0.005613,0
Persistencia,5,5,0.013083,0.010298,0.01368,0
Media histórica,5,5,0.007896,0.006243,0.008045,0
Regresión lineal,5,5,0.005364,0.004362,0.005637,2668
Buy & Hold,5,30,0.002217,0.00183,0.002355,0
Persistencia,5,30,0.011971,0.009369,0.012528,0
Media histórica,5,30,0.005907,0.00473,0.006173,0
Regresión lineal,5,30,0.002162,0.0018,0.002337,2668
Buy & Hold,5,90,0.001317,0.001047,0.001324,0
Persistencia,5,90,0.011812,0.008991,0.012236,0
Media histórica,5,90,0.005578,0.004322,0.005778,0
Regresión lineal,5,90,0.001241,0.001001,0.001275,2668
Buy & Hold,10,1,0.011667,0.009224,0.012283,0
Persistencia,10,1,0.01651,0.013316,0.017825,0
Media histórica,10,1,0.012432,0.009855,0.012977,0
Regresión lineal,10,1,0.011638,0.009475,0.012584,5313
Buy & Hold,10,5,0.005404,0.00433,0.005614,0
Persistencia,10,5,0.013083,0.010307,0.013682,0
Media histórica,10,5,0.006761,0.005494,0.00692,0
Regresión lineal,10,5,0.005343,0.004383,0.005707,5313
Buy & Hold,10,30,0.002217,0.00183,0.002355,0
Persistencia,10,30,0.011972,0.009369,0.012528,0
Media histórica,10,30,0.004432,0.003682,0.004743,0
Regresión lineal,10,30,0.002152,0.001803,0.002355,5313
Buy & Hold,10,90,0.001317,0.001047,0.001324,0
Persistencia,10,90,0.011813,0.008992,0.012236,0
Media histórica,10,90,0.004008,0.003182,0.004231,0
Regresión lineal,10,90,0.001237,0.001003,0.001284,5313
Buy & Hold,30,1,0.01167,0.009225,0.012289,0
Persistencia,30,1,0.016513,0.013314,0.017835,0
Media histórica,30,1,0.011953,0.009466,0.012542,0
Regresión lineal,30,1,0.011528,0.009729,0.012933,15893
Buy & Hold,30,5,0.005404,0.004334,0.005618,0
Persistencia,30,5,0.013085,0.010319,0.013689,0
Media histórica,30,5,0.005881,0.004791,0.006176,0
Regresión lineal,30,5,0.005267,0.004483,0.005884,15893
Buy & Hold,30,30,0.002218,0.001834,0.002356,0
Persistencia,30,30,0.011975,0.009374,0.012527,0
Media histórica,30,30,0.003133,0.002682,0.003494,0
Regresión lineal,30,30,0.00212,0.001817,0.002428,15893
Buy & Hold,30,90,0.001315,0.001046,0.001325,0
Persistencia,30,90,0.011814,0.009025,0.012229,0
Media histórica,30,90,0.002515,0.002047,0.00272,0
Regresión lineal,30,90,0.001216,0.001021,0.00135,15893
Buy & Hold,90,1,0.011676,0.009235,0.012307,0
Persistencia,90,1,0.016525,0.01333,0.017858,0
Media histórica,90,1,0.011791,0.009291,0.012373,0
Regresión lineal,90,1,0.011084,0.010653,0.014037,47633
Buy & Hold,90,5,0.005407,0.004345,0.005626,0
Persistencia,90,5,0.013092,0.01033,0.01371,0
Media histórica,90,5,0.005554,0.004477,0.00581,0
Regresión lineal,90,5,0.005046,0.004872,0.006329,47633
Buy & Hold,90,30,0.002212,0.001843,0.002357,0
Persistencia,90,30,0.011982,0.009387,0.012535,0
Media histórica,90,30,0.002506,0.002092,0.002757,0
Regresión lineal,90,30,0.002005,0.001972,0.002617,47633
Buy & Hold,90,90,0.00131,0.001047,0.001327,0
Persistencia,90,90,0.011823,0.009072,0.012221,0
Media histórica,90,90,0.001752,0.001374,0.001824,0
Regresión lineal,90,90,0.001143,0.001149,0.001511,47633
