modelo,V,H,MAE_train,MAE_val,MAE_test,n_params,epocas_entrenadas
MLP_Small,5,1,0.011514,0.009209,0.01236,4471,23
MLP_Medium,5,1,0.0116,0.009205,0.012333,10263,20
MLP_Large,5,1,0.011645,0.009205,0.012232,25943,23
MLP_Small,5,5,0.005376,0.004302,0.005642,4471,20
MLP_Medium,5,5,0.005383,0.004307,0.005606,10263,20
MLP_Large,5,5,0.00541,0.004301,0.005594,25943,19
MLP_Small,5,30,0.0022,0.001791,0.002396,4471,14
MLP_Medium,5,30,0.002173,0.001784,0.002327,10263,35
MLP_Large,5,30,0.002188,0.001785,0.002326,25943,20
MLP_Small,5,90,0.001251,0.000985,0.001301,4471,18
MLP_Medium,5,90,0.001249,0.000984,0.001263,10263,27
MLP_Large,5,90,0.001264,0.000995,0.001265,25943,18
MLP_Small,10,1,0.011472,0.009215,0.012429,8151,19
MLP_Medium,10,1,0.011684,0.009215,0.012294,17623,14
MLP_Large,10,1,0.011605,0.009217,0.012343,40663,28
MLP_Small,10,5,0.005359,0.004308,0.005647,8151,18
MLP_Medium,10,5,0.005252,0.004307,0.005629,17623,29
MLP_Large,10,5,0.005395,0.004298,0.005593,40663,35
MLP_Small,10,30,0.002188,0.001797,0.002371,8151,13
MLP_Medium,10,30,0.002186,0.001772,0.002344,17623,18
MLP_Large,10,30,0.002176,0.001788,0.002318,40663,30
MLP_Small,10,90,0.001244,0.000992,0.001313,8151,32
MLP_Medium,10,90,0.00125,0.000973,0.001273,17623,23
MLP_Large,10,90,0.001255,0.000982,0.001283,40663,19
MLP_Small,30,1,0.011651,0.009234,0.012356,22871,12
MLP_Medium,30,1,0.011391,0.009215,0.012424,47063,22
MLP_Large,30,1,0.011589,0.009204,0.012308,99543,25
MLP_Small,30,5,0.005304,0.004303,0.005681,22871,31
MLP_Medium,30,5,0.00542,0.004312,0.00562,47063,12
MLP_Large,30,5,0.005412,0.004311,0.00561,99543,12
MLP_Small,30,30,0.002209,0.001794,0.002428,22871,11
MLP_Medium,30,30,0.002224,0.0018,0.002367,47063,13
MLP_Large,30,30,0.002177,0.001786,0.002326,99543,27
MLP_Small,30,90,0.001247,0.00099,0.001364,22871,22
MLP_Medium,30,90,0.001242,0.000988,0.001268,47063,39
MLP_Large,30,90,0.001243,0.000985,0.00127,99543,32
MLP_Small,90,1,0.011382,0.009234,0.012459,67031,15
MLP_Medium,90,1,0.011327,0.009228,0.012389,135383,25
MLP_Large,90,1,0.011682,0.009224,0.012304,276183,17
MLP_Small,90,5,0.00529,0.004313,0.005656,67031,23
MLP_Medium,90,5,0.005406,0.004313,0.005606,135383,23
MLP_Large,90,5,0.005396,0.004314,0.005602,276183,37
MLP_Small,90,30,0.002169,0.001799,0.002362,67031,22
MLP_Medium,90,30,0.002165,0.001799,0.002326,135383,32
MLP_Large,90,30,0.002171,0.001801,0.002336,276183,24
MLP_Small,90,90,0.001235,0.00099,0.00133,67031,33
MLP_Medium,90,90,0.001253,0.000978,0.001279,135383,20
MLP_Large,90,90,0.001289,0.000987,0.001329,276183,15
