modelo,V,H,MAE_test,n_params,epocas_entrenadas
"Modelo [64,32]",5,1,0.012258,10263,100
"Modelo [64,32]",5,5,0.005586,10263,100
"Modelo [64,32]",5,30,0.002318,10263,103
"Modelo [64,32]",5,90,0.001264,10263,100
"Modelo [64,32]",10,1,0.012261,17623,103
"Modelo [64,32]",10,5,0.005585,17623,100
"Modelo [64,32]",10,30,0.00232,17623,100
"Modelo [64,32]",10,90,0.001265,17623,107
"Modelo [64,32]",30,1,0.012269,47063,100
"Modelo [64,32]",30,5,0.005589,47063,100
"Modelo [64,32]",30,30,0.002319,47063,108
"Modelo [64,32]",30,90,0.001265,47063,108
"Modelo [64,32]",90,1,0.012287,135383,100
"Modelo [64,32]",90,5,0.005598,135383,102
"Modelo [64,32]",90,30,0.002321,135383,106
"Modelo [64,32]",90,90,0.001269,135383,100
