modelo,V,H,MAE_test,n_params,epocas_entrenadas
LSTM,5,1,0.012257,35703,100
LSTM,5,5,0.005595,35703,100
LSTM,5,30,0.002334,35703,100
LSTM,5,90,0.001275,35703,100
LSTM,10,1,0.012269,35703,100
LSTM,10,5,0.005608,35703,100
LSTM,10,30,0.002339,35703,100
LSTM,10,90,0.001284,35703,100
LSTM,30,1,0.012277,35703,100
LSTM,30,5,0.005616,35703,100
LSTM,30,30,0.00234,35703,100
LSTM,30,90,0.001284,35703,100
LSTM,90,1,0.012297,35703,100
LSTM,90,5,0.005619,35703,100
LSTM,90,30,0.002344,35703,100
LSTM,90,90,0.001287,35703,100
