modelo,V,H,MAE_train,MAE_val,MAE_test,n_params,epocas_entrenadas
Conv1D_Basica,5,1,0.011484,0.009222,0.012423,12151,44
Conv1D_Avanzada,5,1,0.011635,0.009201,0.012261,66903,39
Inception_1D,5,1,0.011456,0.009185,0.012393,9047,52
Conv1D_Basica,5,5,0.0053,0.004306,0.005665,12151,34
Conv1D_Avanzada,5,5,0.005392,0.004304,0.005594,66903,41
Inception_1D,5,5,0.005279,0.004307,0.005713,9047,44
Conv1D_Basica,5,30,0.002143,0.001794,0.00232,12151,62
Conv1D_Avanzada,5,30,0.002171,0.001789,0.002319,66903,64
Inception_1D,5,30,0.002137,0.001788,0.002368,9047,66
Conv1D_Basica,5,90,0.001247,0.000989,0.001276,12151,38
Conv1D_Avanzada,5,90,0.001247,0.000989,0.001276,66903,37
Inception_1D,5,90,0.001231,0.000988,0.001321,9047,41
Conv1D_Basica,10,1,0.011536,0.009223,0.012299,12887,37
Conv1D_Avanzada,10,1,0.011637,0.009216,0.01228,67639,54
Inception_1D,10,1,0.011642,0.009222,0.012282,9047,38
Conv1D_Basica,10,5,0.005301,0.004305,0.005625,12887,40
Conv1D_Avanzada,10,5,0.005345,0.004297,0.005594,67639,50
Inception_1D,10,5,0.00522,0.00428,0.005668,9047,41
Conv1D_Basica,10,30,0.002165,0.001789,0.002321,12887,58
Conv1D_Avanzada,10,30,0.002171,0.001789,0.002319,67639,61
Inception_1D,10,30,0.00207,0.001791,0.002445,9047,61
Conv1D_Basica,10,90,0.001249,0.000993,0.001269,12887,37
Conv1D_Avanzada,10,90,0.00125,0.000992,0.001268,67639,38
Inception_1D,10,90,0.00121,0.000995,0.001326,9047,45
Conv1D_Basica,30,1,0.011487,0.009205,0.012371,16567,50
Conv1D_Avanzada,30,1,0.011673,0.009224,0.012288,69111,50
Inception_1D,30,1,0.011652,0.009223,0.012286,9047,47
Conv1D_Basica,30,5,0.005264,0.004315,0.005655,16567,38
Conv1D_Avanzada,30,5,0.005393,0.004308,0.005597,69111,100
Inception_1D,30,5,0.005225,0.004299,0.005636,9047,67
Conv1D_Basica,30,30,0.002067,0.001816,0.002356,16567,31
Conv1D_Avanzada,30,30,0.002174,0.00179,0.002324,69111,47
Inception_1D,30,30,0.001876,0.001783,0.00245,9047,47
Conv1D_Basica,30,90,0.001235,0.001009,0.001278,16567,32
Conv1D_Avanzada,30,90,0.001241,0.000994,0.001265,69111,52
Inception_1D,30,90,0.001085,0.000993,0.001418,9047,48
Conv1D_Basica,90,1,0.011582,0.009222,0.01238,27607,30
Conv1D_Avanzada,90,1,0.011694,0.009226,0.012299,74999,34
Inception_1D,90,1,0.011696,0.009223,0.012326,9047,36
Conv1D_Basica,90,5,0.004929,0.004333,0.00571,27607,35
Conv1D_Avanzada,90,5,0.005396,0.004317,0.005605,74999,67
Inception_1D,90,5,0.005313,0.004311,0.005622,9047,66
Conv1D_Basica,90,30,0.002127,0.001826,0.002375,27607,25
Conv1D_Avanzada,90,30,0.002168,0.001799,0.002327,74999,39
Inception_1D,90,30,0.00207,0.001803,0.00247,9047,27
Conv1D_Basica,90,90,0.00123,0.001012,0.001291,27607,28
Conv1D_Avanzada,90,90,0.001239,0.000996,0.001276,74999,32
Inception_1D,90,90,0.000877,0.001022,0.001459,9047,47
