modelo,V,H,MAE_train,MAE_val,MAE_test,n_params,epocas_entrenadas
Conv1D_Small,5,1,0.011604,0.009215,0.012314,4471,19
Conv1D_Medium,5,1,0.011638,0.009196,0.012265,19191,18
Conv1D_Large,5,1,0.011656,0.009204,0.012266,40535,31
Conv1D_Small,5,5,0.005245,0.004305,0.00569,4471,35
Conv1D_Medium,5,5,0.005386,0.004305,0.005607,19191,17
Conv1D_Large,5,5,0.005398,0.004297,0.005591,40535,30
Conv1D_Small,5,30,0.002164,0.001782,0.002368,4471,28
Conv1D_Medium,5,30,0.002179,0.001794,0.002327,19191,17
Conv1D_Large,5,30,0.002175,0.001784,0.002321,40535,28
Conv1D_Small,5,90,0.001267,0.000981,0.001349,4471,14
Conv1D_Medium,5,90,0.001274,0.000973,0.00129,19191,12
Conv1D_Large,5,90,0.001271,0.000989,0.001279,40535,11
Conv1D_Small,10,1,0.011474,0.00922,0.012305,5943,30
Conv1D_Medium,10,1,0.011515,0.009213,0.012379,19927,22
Conv1D_Large,10,1,0.011653,0.009218,0.012285,41271,29
Conv1D_Small,10,5,0.005241,0.004318,0.005713,5943,25
Conv1D_Medium,10,5,0.005282,0.004337,0.005644,19927,17
Conv1D_Large,10,5,0.005377,0.004301,0.005598,41271,33
Conv1D_Small,10,30,0.00213,0.001791,0.002452,5943,35
Conv1D_Medium,10,30,0.002177,0.00179,0.002325,19927,24
Conv1D_Large,10,30,0.002183,0.00179,0.002328,41271,17
Conv1D_Small,10,90,0.001255,0.000996,0.001331,5943,18
Conv1D_Medium,10,90,0.001258,0.000992,0.00127,19927,17
Conv1D_Large,10,90,0.001249,0.000989,0.001266,41271,37
Conv1D_Small,30,1,0.011393,0.009222,0.012427,13303,19
Conv1D_Medium,30,1,0.011563,0.009189,0.012292,23607,23
Conv1D_Large,30,1,0.01169,0.009221,0.01228,42743,18
Conv1D_Small,30,5,0.005418,0.004346,0.005673,13303,11
Conv1D_Medium,30,5,0.005309,0.004306,0.005603,23607,17
Conv1D_Large,30,5,0.005404,0.004302,0.0056,42743,24
Conv1D_Small,30,30,0.001997,0.001801,0.002568,13303,34
Conv1D_Medium,30,30,0.00218,0.001801,0.002336,23607,17
Conv1D_Large,30,30,0.002197,0.001784,0.002347,42743,14
Conv1D_Small,30,90,0.001214,0.000991,0.00141,13303,19
Conv1D_Medium,30,90,0.001256,0.000999,0.001283,23607,17
Conv1D_Large,30,90,0.001244,0.00099,0.001262,42743,29
Conv1D_Small,90,1,0.011698,0.009245,0.012375,35383,11
Conv1D_Medium,90,1,0.011574,0.009231,0.012329,34647,22
Conv1D_Large,90,1,0.011682,0.009229,0.012303,48631,33
Conv1D_Small,90,5,0.005399,0.004347,0.005713,35383,11
Conv1D_Medium,90,5,0.005427,0.004345,0.00564,34647,12
Conv1D_Large,90,5,0.005392,0.004313,0.00562,48631,35
Conv1D_Small,90,30,0.002177,0.001809,0.00249,35383,12
Conv1D_Medium,90,30,0.002161,0.001793,0.002329,34647,23
Conv1D_Large,90,30,0.002154,0.00181,0.00237,48631,23
Conv1D_Small,90,90,0.00119,0.000982,0.001517,35383,15
Conv1D_Medium,90,90,0.001245,0.000977,0.001287,34647,18
Conv1D_Large,90,90,0.001245,0.000995,0.001288,48631,18
